📺央视频道,#genre#
CCTV1-综合,http://123.12.182.34:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2-财经,http://123.12.182.34:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://123.12.182.34:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://123.12.182.34:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+体育赛事,http://123.12.182.34:85/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://123.12.182.34:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7-军农,http://123.12.182.34:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://123.12.182.34:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9-纪录,http://123.12.182.34:85/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10-科教,http://123.12.182.34:85/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11,http://123.12.182.34:85/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12-社会与法,http://123.12.182.34:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://123.12.182.34:85/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14-少儿,http://123.12.182.34:85/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://123.12.182.34:85/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5-体育,http://123.12.182.34:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=


📡卫视频道,#genre#

浙江卫视,http://123.12.182.34:85/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://123.12.182.34:85/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://123.12.182.34:85/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://123.12.182.34:85/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://123.12.182.34:85/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://123.12.182.34:85/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://123.12.182.34:85/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://123.12.182.34:85/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://123.12.182.34:85/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://123.12.182.34:85/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
福建东南,http://123.12.182.34:85/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
陕西卫视,http://123.12.182.34:85/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://123.12.182.34:85/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://123.12.182.34:85/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://123.12.182.34:85/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://123.12.182.34:85/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://123.12.182.34:85/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://123.12.182.34:85/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://123.12.182.34:85/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0
