

央视频道,#genre#
CCTV-1,http://114.244.240.166:4022/rtp/239.3.1.129:8008
CCTV-2,http://114.244.240.166:4022/rtp/239.3.1.60:8084
CCTV-3,http://114.244.240.166:4022/rtp/239.3.1.172:8001
CCTV-4,http://114.244.240.166:4022/rtp/239.3.1.105:8092
CCTV-5,http://114.244.240.166:4022/rtp/239.3.1.173:8001
CCTV-5+,http://114.244.240.166:4022/rtp/239.3.1.130:8004
CCTV-6,http://114.244.240.166:4022/rtp/239.3.1.174:8001
CCTV-7,http://114.244.240.166:4022/rtp/239.3.1.61:8104
CCTV-8,http://114.244.240.166:4022/rtp/239.3.1.175:8001
CCTV-9,http://114.244.240.166:4022/rtp/239.3.1.62:8112
CCTV-10,http://114.244.240.166:4022/rtp/239.3.1.63:8116
CCTV-11,http://114.244.240.166:4022/rtp/239.3.1.152:8120
CCTV-12,http://114.244.240.166:4022/rtp/239.3.1.64:8124
CCTV-13,http://114.244.240.166:4022/rtp/239.3.1.124:8128
CCTV-14,http://114.244.240.166:4022/rtp/239.3.1.65:8132
CCTV-15,http://114.244.240.166:4022/rtp/239.3.1.153:8136
CCTV-16,http://114.244.240.166:4022/rtp/239.3.1.183:8001
CCTV-16,http://114.244.240.166:4022/rtp/239.3.1.184:8001
CCTV-17,http://114.244.240.166:4022/rtp/239.3.1.151:8144
CETV1,http://114.244.240.166:4022/rtp/239.3.1.57:8152
CETV2,http://114.244.240.166:4022/rtp/239.3.1.54:4120
CETV3,http://114.244.240.166:4022/rtp/239.3.1.55:4120
CETV4,http://114.244.240.166:4022/rtp/239.3.1.56:4120


卫视频道,#genre#
湖南卫视,http://114.244.240.166:4022/rtp/239.3.1.132:8012
东方卫视,http://114.244.240.166:4022/rtp/239.3.1.136:8032
浙江卫视,http://114.244.240.166:4022/rtp/239.3.1.137:8036
江苏卫视,http://114.244.240.166:4022/rtp/239.3.1.135:8028
深圳卫视,http://114.244.240.166:4022/rtp/239.3.1.134:8020
广东卫视,http://114.244.240.166:4022/rtp/239.3.1.142:8048
安徽卫视,http://114.244.240.166:4022/rtp/239.3.1.211:8064
天津卫视,http://114.244.240.166:4022/rtp/239.3.1.141:1234
重庆卫视,http://114.244.240.166:4022/rtp/239.3.1.122:8160
山东卫视,http://114.244.240.166:4022/rtp/239.3.1.209:8052
黑龙江卫视,http://114.244.240.166:4022/rtp/239.3.1.133:8016
河北卫视,http://114.244.240.166:4022/rtp/239.3.1.148:8072
辽宁卫视,http://114.244.240.166:4022/rtp/239.3.1.210:8056
湖北卫视,http://114.244.240.166:4022/rtp/239.3.1.138:8044
吉林卫视,http://114.244.240.166:4022/rtp/239.3.1.240:8172
贵州卫视,http://114.244.240.166:4022/rtp/239.3.1.149:8076
东南卫视,http://114.244.240.166:4022/rtp/239.3.1.156:8148
江西卫视,http://114.244.240.166:4022/rtp/239.3.1.123:8164
海南卫视,http://114.244.240.166:4022/rtp/239.3.1.45:8304
云南卫视,http://114.244.240.166:4022/rtp/239.3.1.26:8108
兵团卫视,http://114.244.240.166:4022/rtp/239.3.1.144:4120
厦门卫视,http://114.244.240.166:4022/rtp/239.3.1.143:4120
四川卫视,http://114.244.240.166:4022/rtp/239.3.1.29:8288
南方卫视,http://114.244.240.166:4022/rtp/239.3.1.161:8001
宁夏卫视,http://114.244.240.166:4022/rtp/239.3.1.46:8124
山西卫视,http://114.244.240.166:4022/rtp/239.3.1.42:8172
广西卫视,http://114.244.240.166:4022/rtp/239.3.1.39:8300
新疆卫视,http://114.244.240.166:4022/rtp/239.3.1.48:8160
河南卫视,http://114.244.240.166:4022/rtp/239.3.1.27:8128
甘肃卫视,http://114.244.240.166:4022/rtp/239.3.1.49:8188
西藏卫视,http://114.244.240.166:4022/rtp/239.3.1.47:8164
三沙卫视,http://114.244.240.166:4022/rtp/239.3.1.155:4120
陕西卫视,http://114.244.240.166:4022/rtp/239.3.1.41:8140
青海卫视,http://114.244.240.166:4022/rtp/239.3.1.44:8184
内蒙古卫视,http://114.244.240.166:4022/rtp/239.3.1.43:8176

4k频道,#genre#
北京卫视4K,http://114.244.240.166:4022/rtp/239.3.1.140:8001$3840×2160
北京卫视4K,http://114.244.240.166:4022/rtp/239.3.1.139:8001$3840×2160
东方卫视4K,http://114.244.240.166:4022/rtp/239.3.1.119:3006$3840×2160
广东卫视4K,http://114.244.240.166:4022/rtp/239.3.1.203:2000$3840×2160
深圳卫视4K,http://114.244.240.166:4022/rtp/239.3.1.202:2000$3840×2160
湖南卫视4K,http://114.244.240.166:4022/rtp/239.3.1.112:3002$3840×2160
山东卫视4K,http://114.244.240.166:4022/rtp/239.3.1.144:3005$3840×2160
