🕘️更新时间,#genre#
2025-09-27 18:30:08,http://114.244.240.166:4022/rtp/239.3.1.129:8008

央视频道A,#genre#
CCTV-1 HD,http://114.244.240.166:4022/rtp/239.3.1.129:8008
CCTV-2 HD,http://114.244.240.166:4022/rtp/239.3.1.60:8084
CCTV-3 HD,http://114.244.240.166:4022/rtp/239.3.1.172:8001
CCTV-4 HD,http://114.244.240.166:4022/rtp/239.3.1.105:8092
CCTV-5 HD,http://114.244.240.166:4022/rtp/239.3.1.173:8001
CCTV-5+ HD,http://114.244.240.166:4022/rtp/239.3.1.130:8004
CCTV-6 HD,http://114.244.240.166:4022/rtp/239.3.1.174:8001
CCTV-7 HD,http://114.244.240.166:4022/rtp/239.3.1.61:8104
CCTV-8 HD,http://114.244.240.166:4022/rtp/239.3.1.175:8001
CCTV-9 HD,http://114.244.240.166:4022/rtp/239.3.1.62:8112
CCTV-10 HD,http://114.244.240.166:4022/rtp/239.3.1.63:8116
CCTV-11 HD,http://114.244.240.166:4022/rtp/239.3.1.152:8120
CCTV-12 HD,http://114.244.240.166:4022/rtp/239.3.1.64:8124
CCTV-13 HD,http://114.244.240.166:4022/rtp/239.3.1.124:8128
CCTV-14 HD,http://114.244.240.166:4022/rtp/239.3.1.65:8132
CCTV-15 HD,http://114.244.240.166:4022/rtp/239.3.1.153:8136
CCTV-16 奥林匹克[HDR],http://114.244.240.166:4022/rtp/239.3.1.183:8001
CCTV-16 奥林匹克HD,http://114.244.240.166:4022/rtp/239.3.1.184:8001
CCTV-17 HD,http://114.244.240.166:4022/rtp/239.3.1.151:8144
CCTV-4 中文国际 欧洲HD,http://114.244.240.166:4022/rtp/239.3.1.213:4220
CCTV-4 中文国际 美洲HD,http://114.244.240.166:4022/rtp/239.3.1.214:4220
CETV1HD,http://114.244.240.166:4022/rtp/239.3.1.57:8152
CETV2,http://114.244.240.166:4022/rtp/239.3.1.54:4120
CETV3,http://114.244.240.166:4022/rtp/239.3.1.55:4120
CETV4,http://114.244.240.166:4022/rtp/239.3.1.56:4120

卫视频道A,#genre#
湖南卫视HD,http://114.244.240.166:4022/rtp/239.3.1.132:8012
东方卫视HD,http://114.244.240.166:4022/rtp/239.3.1.136:8032
浙江卫视HD,http://114.244.240.166:4022/rtp/239.3.1.137:8036
江苏卫视HD,http://114.244.240.166:4022/rtp/239.3.1.135:8028
深圳卫视HD,http://114.244.240.166:4022/rtp/239.3.1.134:8020
广东卫视HD,http://114.244.240.166:4022/rtp/239.3.1.142:8048
安徽卫视HD,http://114.244.240.166:4022/rtp/239.3.1.211:8064
天津卫视HD,http://114.244.240.166:4022/rtp/239.3.1.141:1234
重庆卫视HD,http://114.244.240.166:4022/rtp/239.3.1.122:8160
山东卫视HD,http://114.244.240.166:4022/rtp/239.3.1.209:8052
黑龙江卫视HD,http://114.244.240.166:4022/rtp/239.3.1.133:8016
河北卫视HD,http://114.244.240.166:4022/rtp/239.3.1.148:8072
辽宁卫视HD,http://114.244.240.166:4022/rtp/239.3.1.210:8056
湖北卫视HD,http://114.244.240.166:4022/rtp/239.3.1.138:8044
吉林卫视HD,http://114.244.240.166:4022/rtp/239.3.1.240:8172
贵州卫视HD,http://114.244.240.166:4022/rtp/239.3.1.149:8076
东南卫视HD,http://114.244.240.166:4022/rtp/239.3.1.156:8148
江西卫视HD,http://114.244.240.166:4022/rtp/239.3.1.123:8164
海南卫视,http://114.244.240.166:4022/rtp/239.3.1.45:8304
海南卫视,http://satellitepull.cnr.cn/live/wxhainlyws/playlist.m3u8
海南卫视,http://nn.7x9d.cn/地方台8563/海南.php?id=hnws
海南卫视,http://61.184.46.85:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
海南卫视,http://110.177.144.22:9003/hls/28/index.m3u8
海南卫视,http://zqh2333.top:2222/rtp/239.93.24.80:5140
海南卫视,http://lt.hxtre.com:35455/bptv/10000100000000050000000004796877.m3u8
云南卫视,http://114.244.240.166:4022/rtp/239.3.1.26:8108
云南卫视,http://satellitepull.cnr.cn/live/wxynws/playlist.m3u8
云南卫视,http://113.26.202.52:1299/tsfile/live/0119_1.m3u8
云南卫视,http://60.174.40.117:85/tsfile/live/0119_1.m3u8?key=txiptv
云南卫视,http://153.0.171.163:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://111.227.196.164:9901/tsfile/live/0119_1.m3u8
云南卫视,http://223.167.245.215:8001/rtp/239.45.0.4:5140
云南卫视,http://lt.hxtre.com:35455/bptv/10000100000000050000000003887453.m3u8
兵团卫视,http://114.244.240.166:4022/rtp/239.3.1.144:4120
兵团卫视,http://8.138.7.223/tv/btws.m3u8
兵团卫视,http://liveout.btzx.com.cn/62ds9e/yil08g.m3u8?u8key=txiptv
兵团卫视,https://liveout.btzx.com.cn/62ds9e/yil08g.m3u8
兵团卫视,http://113.26.202.52:1299/tsfile/live/0115_1.m3u8
兵团卫视,http://218.13.170.98:9901/tsfile/live/0115_1.m3u8
兵团卫视,http://112.132.10.54:9901/tsfile/live/0115_1.m3u8?key=txiptv&playlive=1&authid=0
厦门卫视,http://114.244.240.166:4022/rtp/239.3.1.143:4120
厦门卫视,http://e2.woc.iiiya.cn:28888/rtp/239.61.2.11:8060
四川卫视,http://114.244.240.166:4022/rtp/239.3.1.29:8288
四川卫视,http://satellitepull.cnr.cn/live/wxscws/playlist.m3u8
四川卫视,http://113.26.202.52:1299/tsfile/live/0123_1.m3u8
四川卫视,http://153.0.171.163:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://113.25.252.226:9901/tsfile/live/0123_1.m3u8
南方卫视,http://114.244.240.166:4022/rtp/239.3.1.161:8001
南方卫视,http://60.16.0.216:5757/hls/28/index.m3u8
宁夏卫视,http://114.244.240.166:4022/rtp/239.3.1.46:8124
宁夏卫视,http://satellitepull.cnr.cn/live/wxnxws/playlist.m3u8
宁夏卫视,http://113.26.202.52:1299/tsfile/live/0112_1.m3u8
宁夏卫视,http://112.132.10.54:9901/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&authid=0
宁夏卫视,http://153.0.171.163:9901/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&authid=0
宁夏卫视,http://zqh2333.top:2222/rtp/239.93.24.247:5140?key=txiptv
山西卫视,http://114.244.240.166:4022/rtp/239.3.1.42:8172
山西卫视,http://satellitepull.cnr.cn/live/wxssxws/playlist.m3u8
山西卫视,http://153.0.171.163:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://60.174.40.117:85/tsfile/live/0118_1.m3u8?key=txiptv
山西卫视,http://113.26.202.52:1299/tsfile/live/0118_1.m3u8
山西卫视,http://110.80.17.38:9999/tsfile/live/0118_1.m3u8
山西卫视,http://60.16.0.216:5757/hls/39/index.m3u8
广西卫视,http://114.244.240.166:4022/rtp/239.3.1.39:8300
