🕘️更新时间,#genre#
2026-04-03 18:40:38,http://107.150.60.122/live/cctv1hd.m3u8

📺央视频道,#genre#
CCTV-1,http://107.150.60.122/live/cctv1hd.m3u8
CCTV-1,http://111.56.90.5/000000000000/6000000001000029752/1.m3u8
CCTV-1,http://114.243.168.34:8888/rtp/239.3.1.129:8008
CCTV-1,http://123.114.99.216:4022/rtp/239.3.1.129:8008
CCTV-1,http://36.24.65.177:8888/udp/233.50.200.130:5140
CCTV-1,http://117.86.48.47:7777/rtp/239.49.0.207:8000
CCTV-1,http://182.138.203.158:8188/rtp/239.94.1.151:5140
CCTV-2,http://107.150.60.122/live/cctv2hd.m3u8
CCTV-2,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv2hd
CCTV-2,http://111.56.90.5/000000000000/1000000001000023315/1.m3u8
CCTV-2,http://114.243.168.34:8888/rtp/239.3.1.60:8084
CCTV-2,http://123.114.99.216:4022/rtp/239.3.1.60:8084
CCTV-2,http://117.86.48.47:7777/rtp/239.49.8.130:6000
CCTV-2,http://113.95.132.166:30001/udp/239.77.1.158:5146
CCTV-2,http://36.24.65.177:8888/udp/233.50.200.25:5140
CCTV-3,http://107.150.60.122/live/cctv3hd.m3u8
CCTV-3,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv3hd
CCTV-3,http://111.56.90.5/000000000000/1000000005000265003/1.m3u8
CCTV-3,http://114.243.168.34:8888/rtp/239.3.1.172:8001
CCTV-3,http://36.24.65.177:8888/udp/233.50.201.196:5140
CCTV-3,http://117.86.48.47:7777/rtp/239.49.0.28:8000
CCTV-4,http://107.150.60.122/live/cctv4hd.m3u8
CCTV-4,http://111.56.90.5/000000000000/1000000002000031664/1.m3u8
CCTV-4,http://114.243.168.34:8888/rtp/239.3.1.105:8092
CCTV-4,http://123.114.99.216:4022/rtp/239.3.1.105:8092
CCTV-4,http://117.86.48.47:7777/rtp/239.49.8.131:6000
CCTV-4,http://113.95.132.166:30001/udp/239.77.1.163:5146
CCTV-4,http://36.24.65.177:8888/udp/233.50.200.101:5140
CCTV-5,http://107.150.60.122/live/cctv5hd.m3u8
CCTV-5,http://74.91.26.218:82/live/cctv5hd.m3u8
CCTV-5,http://111.56.90.5/000000000000/1000000005000265005/1.m3u8
CCTV-5,http://114.243.168.34:8888/rtp/239.3.1.173:8001
CCTV-5,http://113.95.132.166:30001/udp/239.77.0.170:5146
CCTV-5,http://182.138.203.158:8188/rtp/239.94.2.150:5140
CCTV-5,http://117.86.48.47:7777/rtp/239.49.0.206:8000
CCTV-5,http://36.24.65.177:8888/udp/233.50.201.197:5140
CCTV-6,http://107.150.60.122/live/cctv6hd.m3u8
CCTV-6,http://74.91.26.218:82/live/cctv6hd.m3u8
CCTV-6,http://111.56.90.5/000000000000/1000000005000265006/1.m3u8
CCTV-6,http://123.114.99.216:4022/rtp/239.3.1.174:8001
CCTV-6,http://114.243.168.34:8888/rtp/239.3.1.174:8001
CCTV-6,http://113.95.132.166:30001/udp/239.77.0.171:5146
CCTV-6,http://182.138.203.158:8188/rtp/239.94.2.151:5140
CCTV-6,http://36.24.65.177:8888/udp/233.50.201.198:5140
CCTV-6,http://117.86.48.47:7777/rtp/239.49.0.73:8000
CCTV-7,http://107.150.60.122/live/cctv7hd.m3u8
CCTV-7,http://111.56.90.5/000000000000/6000000001000009055/1.m3u8
CCTV-7,http://123.114.99.216:4022/rtp/239.3.1.61:8104
CCTV-7,http://114.243.168.34:8888/rtp/239.3.1.61:8104
CCTV-7,http://182.138.203.158:8188/rtp/239.94.2.152:5140
CCTV-7,http://117.86.48.47:7777/rtp/239.49.0.126:8000
CCTV-7,http://36.24.65.177:8888/udp/233.50.200.24:5140
CCTV-8,http://107.150.60.122/live/cctv8k.m3u8
CCTV-8,http://111.56.90.5/000000000000/1000000005000265008/1.m3u8
CCTV-8,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv8hd
CCTV-8,http://114.243.168.34:8888/rtp/239.3.1.175:8001
CCTV-8,http://123.114.99.216:4022/rtp/239.3.1.175:8001
CCTV-8,http://113.95.132.166:30001/udp/239.77.0.172:5146
CCTV-8,http://182.138.203.158:8188/rtp/239.94.2.153:5140
CCTV-8,http://36.24.65.177:8888/udp/233.50.201.199:5140
CCTV-8,http://117.86.48.47:7777/rtp/239.49.0.79:8000
CCTV-9,http://107.150.60.122/live/cctv9hd.m3u8
CCTV-9,http://107.150.60.122/live/cctv9hd.m3u8
CCTV-9,http://111.56.90.5/000000000000/1000000001000014583/1.m3u8
CCTV-9,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv9hd
CCTV-9,http://114.243.168.34:8888/rtp/239.3.1.62:8112
CCTV-9,http://123.114.99.216:4022/rtp/239.3.1.62:8112
CCTV-9,http://36.24.65.177:8888/udp/233.50.201.121:5140
CCTV-9,http://117.86.48.47:7777/rtp/239.49.8.53:9814
CCTV-10,http://107.150.60.122/live/cctv10hd.m3u8
CCTV-10,http://111.56.90.5/000000000000/1000000005000265010/1.m3u8
CCTV-10,https://cdn4.skygo.mn/live/disk1/CCTV-10/HLSv3-FTA/CCTV-10.m3u8
CCTV-10,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv10hd
CCTV-10,http://114.243.168.34:8888/rtp/239.3.1.63:8116
CCTV-10,http://113.95.132.166:30001/udp/239.77.0.134:5146
CCTV-10,http://182.138.203.158:8188/rtp/239.94.2.155:5140
CCTV-10,http://123.114.99.216:4022/rtp/239.3.1.63:8116
CCTV-10,http://36.24.65.177:8888/udp/233.50.201.122:5140
CCTV-10,http://117.86.48.47:7777/rtp/239.49.8.134:6000
CCTV-11,http://107.150.60.122/live/cctv11hd.m3u8
CCTV-11,http://107.150.60.122/live/cctv11hd.m3u8
